scan_id,point_index,x,y,voltage_x_in_phase,voltage_x_quadrature,voltage_y_in_phase,voltage_y_quadrature,voltage_z_in_phase,voltage_z_quadrature,std_dev_x_in_phase,std_dev_x_quadrature,std_dev_y_in_phase,std_dev_y_quadrature,std_dev_z_in_phase,std_dev_z_quadrature
51add69c-cc34-413c-b0a7-50567dd8910c,0,535.0,634.0,1.4012051404953003,-0.04788243741989136,0.15803121592998504,0.002363747549057007,-1.5121266389608385,0.04454682219028473,2.2706591573387497e-05,5.4798968845274555e-05,2.3046677256805053e-05,2.670873635285686e-05,4.319634431174672e-05,5.34381014712916e-05
51add69c-cc34-413c-b0a7-50567dd8910c,1,547.5,634.0,1.4006294431686404,-0.04787938077449799,0.1578346299648285,0.0023769347906112672,-1.5118799240112306,0.04456315340995788,1.7144982365510844e-05,9.350822281838756e-05,2.702939102374731e-05,3.415196093921278e-05,3.8710284634797564e-05,4.075416290954295e-05
51add69c-cc34-413c-b0a7-50567dd8910c,2,560.0,634.0,1.399610182929039,-0.047820722293853764,0.1575526325941086,0.00238167986869812,-1.5112070835828781,0.04448836748600007,2.0031863677739077e-05,7.040652417744025e-05,3.764021583132441e-05,3.7440496517268375e-05,4.8591145844453406e-05,4.270901988089393e-05
51add69c-cc34-413c-b0a7-50567dd8910c,3,572.5,634.0,1.3981047122955323,-0.047795948910713204,0.15732984681129455,0.002389510703086853,-1.5098413161993027,0.04447876088619233,2.0914791594974655e-05,6.385701161566699e-05,3.510968131597954e-05,3.3692458495549675e-05,5.172037168022229e-05,3.91327447326195e-05
51add69c-cc34-413c-b0a7-50567dd8910c,4,585.0,634.0,1.3977662688732146,-0.04780130531787873,0.15829044857025149,0.002377720785140991,-1.5074453428745271,0.044416696429252625,2.801787787441576e-05,8.546765864767961e-05,1.578158528652255e-05,2.7990844554290375e-05,4.6275296932113385e-05,6.72087669264724e-05
51add69c-cc34-413c-b0a7-50567dd8910c,5,597.5,634.0,1.401383037257195,-0.04781361923217774,0.16278205797672274,0.002212196159362793,-1.502433608865738,0.04426144795417786,2.723596506785715e-05,6.170004999407735e-05,2.3737422670206706e-05,3.262754411942512e-05,4.0653302375915144e-05,6.307390381682428e-05
51add69c-cc34-413c-b0a7-50567dd8910c,6,610.0,634.0,1.4043261209964752,-0.04779807400703431,0.17192829787731173,0.001850609564781189,-1.4887251364946366,0.04389709582328797,1.973501085980973e-05,9.901950946254585e-05,3.709943896125573e-05,2.4912637836335745e-05,3.991874719080992e-05,6.8144015586041e-05
51add69c-cc34-413c-b0a7-50567dd8910c,7,622.5,634.0,1.3856139783382415,-0.04722435622215272,0.17287422773838046,0.0018244679689407351,-1.4649158193111422,0.043255957174301154,5.121347145479598e-05,3.668534057055347e-05,2.85736909403104e-05,1.784522172198782e-05,5.140733313923169e-05,2.993844611455418e-05
51add69c-cc34-413c-b0a7-50567dd8910c,8,635.0,634.0,1.3608569264173507,-0.04657186431884766,0.15455295724868776,0.002500830817222595,-1.466919959807396,0.04328995871543885,2.299718780958372e-05,8.083446941210636e-05,4.4059594843785915e-05,3.1549220837207014e-05,5.4650418877559415e-05,4.769137276207974e-05
