frequence_Hz,timestamp,VPP_CH1,VPP_CH2,VPP_CH3
100.0,2025-10-01 13:03:24,1.37,0.28,1.61
126.6,2025-10-01 13:03:42,1.69,0.34,1.89
160.4,2025-10-01 13:03:59,1.89,0.38,2.09
203.1,2025-10-01 13:04:15,2.05,0.41,2.13
257.2,2025-10-01 13:04:32,2.21,0.44,2.17
325.7,2025-10-01 13:04:48,2.29,0.45,2.09
412.5,2025-10-01 13:05:04,2.33,0.48,1.89
522.3,2025-10-01 13:05:20,2.33,0.48,1.77
661.5,2025-10-01 13:05:35,2.21,0.48,1.53
837.7,2025-10-01 13:05:51,2.13,0.43,1.37
1060.8,2025-10-01 13:06:06,1.97,0.43,1.11
1343.4,2025-10-01 13:06:22,1.85,0.38,0.94
1701.3,2025-10-01 13:06:37,1.69,0.34,0.84
2154.4,2025-10-01 13:06:52,1.53,0.33,0.72
2728.3,2025-10-01 13:07:06,1.45,0.32,0.68
3455.1,2025-10-01 13:07:22,1.33,0.31,0.6
4375.5,2025-10-01 13:07:37,1.25,0.3,0.6
5541.0,2025-10-01 13:07:52,1.25,0.27,0.54
7017.0,2025-10-01 13:08:07,1.19,0.26,0.52
8886.2,2025-10-01 13:08:23,1.17,0.27,0.56
11253.4,2025-10-01 13:08:37,1.15,0.27,0.5
14251.0,2025-10-01 13:08:53,1.13,0.28,0.5
18047.2,2025-10-01 13:09:08,1.13,0.27,0.48
22854.6,2025-10-01 13:09:23,1.13,0.29,0.5
28942.7,2025-10-01 13:09:37,1.11,0.32,0.5
36652.4,2025-10-01 13:09:53,1.11,0.35,0.52
46415.9,2025-10-01 13:10:08,1.13,0.39,0.52
58780.2,2025-10-01 13:10:22,1.13,0.45,0.5
74438.0,2025-10-01 13:10:38,1.13,0.52,0.52
94266.8,2025-10-01 13:10:53,1.33,0.54,0.48
119377.7,2025-10-01 13:11:07,1.33,0.52,0.4
151177.5,2025-10-01 13:11:22,0.98,0.56,0.31
191448.2,2025-10-01 13:11:37,0.74,0.54,0.25
242446.2,2025-10-01 13:11:52,0.56,0.5,0.18
307029.1,2025-10-01 13:12:07,0.39,0.43,0.141
388815.5,2025-10-01 13:12:21,0.27,0.35,0.109
492388.3,2025-10-01 13:12:35,0.169,0.22,0.117
