cycle,timestamp,command,response_number,response_raw
1,2025-06-07T10:57:14.869818,S,1,-3758	479	-2626	17168	-409	1046	-45	38	-693	1232
1,2025-06-07T10:57:14.869818,A9,1,-3736	478	-2621	17117	-409	966	-136	-23	-696	1249
1,2025-06-07T10:57:14.869818,G9,1,-3757	481	-2621	17142	-429	1020	-105	-45	-732	1298
1,2025-06-07T10:57:14.869818,M9,1,-3749	473	-2630	17150	-427	1038	-139	-27	-793	1213
1,2025-06-07T10:57:14.869818,L9,1,-3741	481	-2618	17167	-402	1050	-4	48	-744	1260
1,2025-06-07T10:57:14.869818,F20,1,-3750	479	-2616	17099	-431	1006	-101	-33	-680	1264
2,2025-06-07T10:57:16.239827,S,1,-3744	486	-2624	17181	-418	984	-148	-2	-689	1257
2,2025-06-07T10:57:16.239827,A9,1,-3746	489	-2636	17174	-398	1071	-132	16	-742	1275
2,2025-06-07T10:57:16.239827,G9,1,-3741	479	-2629	17147	-412	1019	-117	24	-715	1288
2,2025-06-07T10:57:16.239827,M9,1,-3751	483	-2635	17138	-431	962	-21	-48	-673	1198
2,2025-06-07T10:57:16.239827,L9,1,-3741	489	-2628	17156	-436	102
2,2025-06-07T10:57:16.239827,F20,1,-3760	494	-2638	17139	-423	937	-124	-5	-705	1252
3,2025-06-07T10:57:17.609177,S,1,-3763	473	-2634	17170	-416	998	-88	-36	-720	1283
3,2025-06-07T10:57:17.609177,A9,1,-3762	489	-2630	17165	-434	1050	-55	43	-725	1173
3,2025-06-07T10:57:17.609177,G9,1,-3748	483	-2623	17173	-403	1049	-50	0	-775	1207
3,2025-06-07T10:57:17.609177,M9,1,-3763	487	-2631	17160	-412	961	-72	-98	-697	1296
3,2025-06-07T10:57:17.609177,L9,1,-3762	473	-2636	17192	-435	1048	-235	-105	-691	1293
3,2025-06-07T10:57:17.609177,F20,1,-3761	476	-2629	17171	-429	1066	-62	-25	-701	1280
4,2025-06-07T10:57:18.985633,S,1,-3752	485	-2636	17134	-428	1005	-104	32	-683	1196
4,2025-06-07T10:57:18.985633,A9,1,-3757	474	-2636	17114	-437	907	23	5	-622	1238
4,2025-06-07T10:57:18.985633,G9,1,-3758	486	-2624	17151	-410	1018	-148	48	-701	1235
4,2025-06-07T10:57:18.985633,M9,1,-3748	489	-2633	17118	-417	1077	-105	-65	-749	1289
4,2025-06-07T10:57:18.985633,L9,1,-3755	472	-2621	17171	-420	1038	-100	45	-683	1284
4,2025-06-07T10:57:18.985633,F20,1,-3762	465	-2625	17159	-379	932	-138	-51	-668	1265
5,2025-06-07T10:57:20.360588,S,1,-3763	486	-2620	17203	-407	1004	-158	-43	-702	1195
5,2025-06-07T10:57:20.360588,A9,1,-3771	470	-2625	17157	-410	1077	-97	-15	-694	1243
5,2025-06-07T10:57:20.360588,G9,1,-3765	485	-2635	17155	-394	1072	-98	18	-681	1206
5,2025-06-07T10:57:20.360588,M9,1,-3750	473	-2626	17140	-411	855	-27	-78	-669	1309
5,2025-06-07T10:57:20.360588,L9,1,-3754	477	-2622	17134	-418	984	-54	-66	-701	1337
5,2025-06-07T10:57:20.360588,F20,1,-3748	484	-2620	17148	-424	1084	-99	90	-678	1309
6,2025-06-07T10:57:21.777095,S,1,-3759	485	-2638	17121	-383	993	-75	-19	-687	1269
6,2025-06-07T10:57:21.777095,A9,1,-3762	483	-2635	17146	-391	942	-131	27	-732	1230
6,2025-06-07T10:57:21.777095,G9,1,-3756	486	-2624	17140	-411	1029	-99	-26	-684	1202
6,2025-06-07T10:57:21.777095,M9,1,-3756	475	-2613	17166	-438	1082	-186	7	-729	1262
6,2025-06-07T10:57:21.777095,L9,1,-3761	479	-2629	17176	-405	1032	-103	-92	-748	1283
6,2025-06-07T10:57:21.777095,F20,1,-3743	472	-2622	17154	-431	944	-85	34	-697	1249
7,2025-06-07T10:57:23.166361,S,1,-3766	479	-2638	17140	-396	987	-174	18	-670	1319
7,2025-06-07T10:57:23.166361,A9,1,-3752	482	-2632	17166	-435	1132	-107	-68	-707	1261
7,2025-06-07T10:57:23.166361,G9,1,-3761	481	-2634	17131	-423	965	-171	3	-633	1286
7,2025-06-07T10:57:23.166361,M9,1,-3769	484	-2621	17153	-408	932	-117	2	-675	1294
7,2025-06-07T10:57:23.166361,L9,1,-3758	487	-2620	17181	-423	1056	-100	-40	-842	1277
7,2025-06-07T10:57:23.166361,F20,1,-3766	477	-2624	17164	-386	1042	-139	18	-714	1312
8,2025-06-07T10:57:24.537506,S,1,-3765	480	-2639	17193	-395	1006	-171	42	-672	1252
8,2025-06-07T10:57:24.537506,A9,1,-3744	485	-2624	17142	-427	948	-37	28	-697	1272
8,2025-06-07T10:57:24.537506,G9,1,-3751	472	-2618	17188	-429	990	-83	19	-638	1238
8,2025-06-07T10:57:24.537506,M9,1,-3768	489	-2638	17153	-379	1073	-4	56	-775	1191
8,2025-06-07T10:57:24.537506,L9,1,-3752	481	-2641	17127	-418	1002	-133	-7	-757	1259
8,2025-06-07T10:57:24.537506,F20,1,-3753	468	-2624	17168	-427	967	-220	-12	-769	1214
9,2025-06-07T10:57:25.907345,S,1,-3765	487	-2621	17170	-430	1011	-203	79	-688	1299
9,2025-06-07T10:57:25.907345,A9,1,-3757	465	-2640	17141	-429	1037	-151	-44	-624	1342
9,2025-06-07T10:57:25.907345,G9,1,-3762	481	-2632	17168	-401	995	-66	-2	-791	1263
9,2025-06-07T10:57:25.907345,M9,1,-3752	475	-2633	17145	-426	1058	-138	75	-806	1200
9,2025-06-07T10:57:25.907345,L9,1,-3769	483	-2631	17127	-398	963	-50	-69	-688	1225
9,2025-06-07T10:57:25.907345,F20,1,-3761	487	-2641	17163	-413	966	-118	-1	-632	1276
10,2025-06-07T10:57:27.288141,S,1,-3759	481	-2632	17112	-444	1046	-50	-12	-737	1281
10,2025-06-07T10:57:27.288141,A9,1,-3757	483	-2618	17150	-420	1039	-58	65	-710	1199
10,2025-06-07T10:57:27.288141,G9,1,-3754	478	-2637	17157	-387	1039	-161	31	-560	1244
10,2025-06-07T10:57:27.288141,M9,1,-3747	483	-2631	17143	-398	961	-121	-28	-644	1333
10,2025-06-07T10:57:27.288141,L9,1,-3758	469	-2625	17150	-424	983	-125	-88	-697	1249
10,2025-06-07T10:57:27.288141,F20,1,-3759	488	-2623	17177	-424	1069	-138	74	-790	1212
11,2025-06-07T10:57:28.663574,S,1,-3755	478	-2641	17156	-407	1010	-76	25	-651	1255
11,2025-06-07T10:57:28.663574,A9,1,-3758	495	-2630	17150	-395	963	-106	23	-720	1230
11,2025-06-07T10:57:28.663574,G9,1,-3757	474	-2631	17141	-417	1011	-198	-10	-681	1209
11,2025-06-07T10:57:28.663574,M9,1,-3762	476	-2624	17169	-401	1016	-63	-23	-663	1280
11,2025-06-07T10:57:28.663574,L9,1,-3744	476	-2638	17168	-445	1046	-108	-39	-751	1278
11,2025-06-07T10:57:28.663574,F20,1,-3751	479	-2648	17142	-405	970	-58	-93	-670	1312
